entropy,meankl,ev_tdlam_before,EpisodesSoFar,TimeElapsed,optimgain,TimestepsSoFar,EpLenMean,EpRewMean,surrgain,entloss,EpThisIter
39.621696,0.0067907586,0.46097880601882935,70,5.179006576538086,0.10136427,2643,37.5,85.97499115348323,0.10136427,0.0,70
39.524048,0.0065732794,0.6359812915325165,131,8.911257028579712,0.10325159,5098,40.8,90.55750631600472,0.10325159,0.0,61
39.42801,0.0062380075,0.7553959339857101,187,12.643176078796387,0.104207896,7728,46.125,103.29286243262717,0.104207896,0.0,56
39.316643,0.0061194017,0.533295750617981,240,16.37481141090393,0.10715642,10194,47.8,108.9018945458046,0.10715642,0.0,53
39.223587,0.006032485,0.48478418588638306,289,20.107478618621826,0.11138471,12620,47.45,106.65794582785705,0.11138471,0.0,49
39.159836,0.0058499267,0.2535017132759094,331,23.841034173965454,0.11555598,15125,59.025,136.66514503360986,0.11555598,0.0,42
39.125713,0.0059123575,0.30960285663604736,374,27.61800193786621,0.117165364,17647,58.25,133.1766024699556,0.117165364,0.0,43
39.064312,0.0058287373,0.3013961911201477,415,31.358864784240723,0.11937784,20161,61.15,142.38909436004127,0.11937784,0.0,41
39.011677,0.0061715893,0.26924043893814087,457,35.08958554267883,0.12367636,22776,61.725,146.4769340374591,0.12367636,0.0,42
38.938232,0.0059164204,0.3183879852294922,498,38.831018686294556,0.121404685,25482,65.675,157.79783215918962,0.121404685,0.0,41
38.8841,0.0061900904,0.49492347240448,540,42.57087540626526,0.12139249,28087,62.275,149.16193693994836,0.12139249,0.0,42
38.840157,0.0059626177,0.5095664858818054,584,46.32259702682495,0.12717362,30793,61.95,140.58713538528022,0.12717362,0.0,44
38.793,0.0060620867,0.6040015816688538,619,50.066242694854736,0.12767598,33218,68.475,163.89741481374932,0.12767598,0.0,35
38.72146,0.0060641007,0.5631152987480164,655,53.82467269897461,0.13569717,35670,68.225,162.88604510884701,0.13569717,0.0,36
38.683235,0.00604334,0.5537421107292175,691,57.57639288902283,0.13102391,38206,69.575,163.69932994063745,0.13102391,0.0,36
38.614662,0.005901286,0.5897583067417145,725,61.315749406814575,0.12726323,40649,71.625,170.08931664637984,0.12726323,0.0,34
38.56016,0.006224579,0.5630427896976471,755,65.0482108592987,0.13577668,43039,80.025,189.42522878975996,0.13577668,0.0,30
38.489025,0.006027474,0.6529732048511505,791,68.7910406589508,0.13505451,45601,71.975,169.85329717198363,0.13505451,0.0,36
38.427475,0.0062768655,0.5971196889877319,825,72.53795409202576,0.13321397,48099,71.175,166.76014238661384,0.13321397,0.0,34
38.370865,0.006312208,0.6123018860816956,857,76.2937524318695,0.1395987,50593,75.575,183.19727365605968,0.1395987,0.0,32
38.328316,0.0063061714,0.744679719209671,891,80.05425763130188,0.13686983,53153,72.725,179.7157038785154,0.13686983,0.0,34
38.265953,0.006362672,0.7192678451538086,924,83.79001665115356,0.13854647,55605,74.6,183.90469383494005,0.13854647,0.0,33
38.23768,0.006312214,0.649769514799118,958,87.53526496887207,0.13709377,58139,73.475,185.77851596709658,0.13709377,0.0,34
38.21245,0.0061093825,0.7349070310592651,989,91.27031874656677,0.14192314,60480,76.075,190.67076733113754,0.14192314,0.0,31
38.163155,0.006528792,0.6694120764732361,1021,95.01311659812927,0.14137626,63107,80.0,189.179319455947,0.14137626,0.0,32
38.101295,0.00647197,0.8378039598464966,1050,98.75622987747192,0.14373682,65574,85.275,206.90254054121934,0.14373682,0.0,29
38.074577,0.006443753,0.7377405166625977,1084,102.51291370391846,0.1402327,68150,74.975,184.3536455586825,0.1402327,0.0,34
38.03689,0.0065006083,0.8059705197811127,1120,106.26497459411621,0.14803955,70882,74.85,186.42064489232774,0.14803955,0.0,36
37.985382,0.0065539815,0.7456895411014557,1154,110.02117109298706,0.14748605,73449,75.975,185.70676978267608,0.14748605,0.0,34
37.961723,0.0061974255,0.6486565172672272,1184,113.76712203025818,0.14382625,75955,80.0,196.561537913953,0.14382625,0.0,30
37.924957,0.006476186,0.6747346222400665,1216,117.51180267333984,0.15229413,78592,81.35,203.3981139713334,0.15229413,0.0,32
37.87101,0.006455803,0.8139640688896179,1249,121.27109384536743,0.14716762,81490,86.7,212.73207127571013,0.14716762,0.0,33
37.815407,0.0064725755,0.8390103280544281,1277,125.00819110870361,0.14537379,83946,90.225,220.5908934364184,0.14537379,0.0,28
37.76252,0.006604108,0.7558296322822571,1307,128.74417328834534,0.15009645,86449,85.25,209.93407404253543,0.15009645,0.0,30
37.743797,0.0064872503,0.8547824770212173,1337,132.48654222488403,0.14469926,88878,79.85,196.36929183472304,0.14469926,0.0,30
37.712982,0.0066408687,0.8197437673807144,1372,136.227445602417,0.14708024,91501,76.3,196.06596313154776,0.14708024,0.0,35
37.6532,0.0063569555,0.5572977364063263,1404,139.96226525306702,0.15380602,94193,82.65,211.52250120701518,0.15380602,0.0,32
37.60805,0.006866156,0.8274721950292587,1432,143.70056581497192,0.150628,96730,89.225,229.67655074192666,0.150628,0.0,28
37.545326,0.006642004,0.778395339846611,1461,147.44451260566711,0.1526941,99200,87.725,222.82195284311274,0.1526941,0.0,29
37.51362,0.006685392,0.8056520819664001,1490,151.179105758667,0.14803219,101950,93.075,229.57543292396912,0.14803219,0.0,29
37.461662,0.006981897,0.7489155530929565,1519,154.9252326488495,0.1534385,104478,88.075,227.1947437143403,0.1534385,0.0,29
37.387863,0.0068273456,0.8631647527217865,1548,158.67070960998535,0.1571706,106818,84.1,210.42788109301077,0.1571706,0.0,29
37.32669,0.0068281544,0.8311208933591843,1577,162.40645503997803,0.15451232,109166,82.325,207.04730803467208,0.15451232,0.0,29
37.25945,0.0068980977,0.8807699605822563,1604,166.15851640701294,0.15416911,111632,87.075,223.58325378896976,0.15416911,0.0,27
37.221935,0.006945017,0.8437011986970901,1630,169.91260194778442,0.15255041,114002,89.8,232.00140726645708,0.15255041,0.0,26
37.170616,0.0066613676,0.9297972545027733,1656,173.6501762866974,0.15309352,116502,93.7,249.60399090591164,0.15309352,0.0,26
37.131668,0.00689357,0.879694938659668,1684,177.3904323577881,0.1555592,118967,89.375,237.23367982053014,0.1555592,0.0,28
37.078133,0.0067445324,0.76521235704422,1711,181.13013339042664,0.16373587,121368,87.55,234.20806848436996,0.16373587,0.0,27
37.011436,0.006982335,0.9130428656935692,1737,184.8782730102539,0.16145219,123869,92.175,245.63236370519394,0.16145219,0.0,26
36.978683,0.0068684807,0.8519282042980194,1767,188.6181583404541,0.16071443,126689,94.7,243.93612500586414,0.16071443,0.0,30
36.9205,0.006953828,0.8519258201122284,1793,192.35858273506165,0.16297427,129179,93.3,250.14374326492253,0.16297427,0.0,26
36.887413,0.0068899887,0.7789475172758102,1819,196.11677813529968,0.15809579,131705,96.425,257.04457128849646,0.15809579,0.0,26
36.837097,0.007174739,0.9067745804786682,1842,199.86446332931519,0.15897842,133815,92.2,243.49913102265046,0.15897842,0.0,23
36.790382,0.007085991,0.8975375518202782,1871,203.6217439174652,0.17117116,136432,88.825,236.88112257785096,0.17117116,0.0,29
36.73043,0.0072740195,0.9409855455160141,1898,207.3582525253296,0.16172834,138968,93.15,242.65190863070092,0.16172834,0.0,27
36.685516,0.007159932,0.8886535167694092,1922,211.11088299751282,0.16253203,141153,93.875,253.51675531611482,0.16253203,0.0,24
36.640434,0.00693544,0.9127766862511635,1948,214.8540744781494,0.16280535,143711,96.55,269.36273738259166,0.16280535,0.0,26
36.611397,0.00687529,0.8379194736480713,1976,218.58865118026733,0.16413756,146440,98.9,275.1961299003104,0.16413756,0.0,28
36.547966,0.0072119413,0.8159225434064865,2003,222.3317415714264,0.16329786,148966,92.575,254.08269913783442,0.16329786,0.0,27
36.50587,0.0071005477,0.888610765337944,2030,226.08549189567566,0.16398749,151659,99.725,274.16921959611557,0.16398749,0.0,27
36.440636,0.0072137034,0.930078312754631,2055,229.82963490486145,0.16382402,154017,94.85,261.71861304920765,0.16382402,0.0,25
36.421124,0.007188174,0.8835592418909073,2083,233.5822253227234,0.1635322,156671,95.675,271.79736508083744,0.1635322,0.0,28
36.384224,0.006884282,0.9467344358563423,2111,237.34782552719116,0.16007037,159507,98.725,273.809716501472,0.16007037,0.0,28
36.336098,0.007157471,0.9314637407660484,2137,241.08825635910034,0.16138938,162236,103.825,286.3227463603833,0.16138938,0.0,26
36.268745,0.0072069853,0.840010792016983,2164,244.83736300468445,0.16367598,164988,102.675,284.7887153339618,0.16367598,0.0,27
36.208206,0.007252789,0.8716648668050766,2188,248.58998012542725,0.17122516,167454,103.15,298.3299839400327,0.17122516,0.0,24
36.17448,0.0070352154,0.9448255859315395,2216,252.32969784736633,0.17203107,170103,94.6,269.41702890557383,0.17203107,0.0,28
36.115387,0.0068439217,0.9440966323018074,2241,256.07748198509216,0.16486934,172677,100.7,279.24541308223127,0.16486934,0.0,25
36.065704,0.0073300423,0.8782326579093933,2268,259.81251883506775,0.16626064,175159,96.4,261.72885500742905,0.16626064,0.0,27
36.046196,0.00708414,0.9063390269875526,2295,263.55314660072327,0.16690582,177890,98.225,273.00151698707833,0.16690582,0.0,27
35.990364,0.006953924,0.8654274642467499,2317,267.2966215610504,0.17304233,180320,106.8,310.23252311706784,0.17304233,0.0,22
35.923203,0.0074021504,0.9069941565394402,2341,271.03128385543823,0.16489244,182808,104.375,293.321332759861,0.16489244,0.0,24
