# {"t_start": 1552729570.8799193, "env_id": null} 
r,l,t
0.296898,21,54.721603
0.450789,30,54.938655
0.29323,22,55.102959
0.133379,27,55.293256
0.2052,28,55.493276
0.553934,28,55.695349
0.344806,47,56.025485
0.433208,15,56.298443
0.344734,34,56.550821
0.595318,23,56.834443
0.323969,34,57.136022
0.25783,20,57.287592
0.303361,61,57.749573
0.721,18,57.904323
0.26995,33,58.162544
0.262254,21,58.322866
0.222989,30,58.552254
0.539834,22,58.717919
0.180037,19,58.851985
0.37016,24,59.04583
0.384676,17,59.201689
0.219034,17,59.331416
0.292746,18,59.47347
0.392367,25,59.663455
0.269546,36,59.927243
0.088787,14,60.030592
0.53941,24,60.203013
0.35663,21,60.353916
0.160141,22,60.515723
0.378014,26,60.705019
0.297177,25,60.8819
0.312545,22,61.048225
0.411036,31,61.264921
0.13746,21,61.414155
0.269376,29,61.61532
0.315181,34,61.881027
0.434758,21,62.031836
0.382867,16,62.148312
0.257988,29,62.379058
0.348081,39,62.68216
0.463579,35,62.927972
0.473201,28,63.175156
0.20592,16,63.295115
0.249782,18,63.424084
0.654343,39,63.693654
0.415337,46,64.024647
0.317212,29,64.400468
0.200707,29,64.605639
0.309246,18,64.74691
0.222562,37,65.012499
0.41777,28,65.213278
0.211532,21,65.366517
0.271311,27,65.557335
0.404431,15,65.663983
0.38144,20,65.812011
0.373318,17,65.932705
0.507201,27,66.12621
0.220997,16,66.245235
0.270518,15,66.356088
0.098125,19,66.489556
0.228938,16,66.60963
0.185214,23,66.771649
0.254255,39,67.051272
0.543494,20,67.202651
0.223729,28,67.413848
0.269263,18,67.547481
0.278392,14,67.650929
0.288265,27,67.839853
0.450576,22,68.001302
0.111284,13,68.093494
0.389329,37,68.362397
0.30094,32,68.591839
0.306945,18,68.723352
0.197286,12,68.815202
0.558702,24,68.991549
0.371487,29,69.214112
0.311279,30,69.434885
0.301705,25,69.614052
0.244474,32,69.848296
0.271776,23,70.012034
0.330321,22,70.172475
0.381257,12,70.263658
0.342234,19,70.398269
0.199981,54,70.788649
0.473929,30,71.005614
0.196965,29,71.212098
0.365119,26,71.414973
0.579915,20,71.620567
0.344067,26,71.815472
0.225626,17,72.216747
0.14744,26,72.427526
0.194445,29,72.667628
0.233058,25,72.893597
0.167392,24,73.10249
0.347346,18,73.259844
0.137419,21,73.416404
0.317048,22,73.582685
0.394646,31,73.826546
0.17833,30,74.073813
0.294015,25,74.277674
0.366939,22,74.450313
0.396616,19,74.609021
0.355237,28,74.864043
0.249003,22,75.127615
0.281383,17,75.279246
0.454268,24,75.483983
0.32758,26,75.714535
0.098604,17,75.843273
0.415108,34,76.159611
0.169767,22,76.354357
0.304945,44,76.895673
0.395312,32,77.415681
0.170936,15,77.589692
0.203446,30,78.10555
0.452383,24,78.505344
0.497135,31,78.881407
0.538348,20,79.179272
0.522064,21,79.436672
0.295207,18,79.654498
0.263632,22,79.923582
0.359527,20,80.163784
0.303069,24,80.498662
0.66268,35,80.991936
0.220899,26,81.318809
0.623342,35,81.742055
0.366735,30,82.024383
0.182701,25,82.294383
0.18334,23,82.455119
0.270833,21,82.600718
0.601375,21,82.748489
0.715374,43,83.217428
0.359425,22,83.383254
0.281975,19,83.515013
0.625602,45,83.835296
0.316509,32,84.064024
0.278548,24,84.327009
0.331939,16,84.517973
0.309123,30,84.847829
0.320564,15,84.985955
0.494233,29,85.279188
0.276612,25,85.463154
0.599581,54,85.852488
0.601667,36,86.116913
0.226936,34,86.373935
0.523725,32,86.613281
0.226068,20,86.77206
0.099125,15,86.888135
0.289514,24,87.095411
0.173891,13,87.202022
0.162969,14,87.306957
0.4424,26,87.525615
0.256914,23,87.717326
0.273302,20,87.97247
0.39026,17,88.173806
0.279388,37,88.506184
0.604704,23,88.765292
0.427561,23,89.030757
0.264075,22,89.284237
0.256278,23,89.557705
0.220985,19,89.773181
0.304152,26,90.094643
0.270158,14,90.254844
0.37679,20,90.531093
0.572262,65,91.372854
0.328053,25,91.669163
0.250311,14,91.846713
0.366437,15,92.012081
0.430696,24,92.437473
0.190227,37,92.858149
0.436559,39,93.675008
0.431762,22,93.946539
0.28594,24,94.247996
0.188358,15,94.426911
0.22941,32,94.809201
0.288666,30,95.251069
0.334903,20,95.503606
0.192262,26,95.807936
0.261246,28,96.228564
0.286778,24,96.504912
0.200116,29,96.83389
0.140781,19,97.044646
0.349071,16,97.233559
0.225446,46,97.951577
0.42763,22,98.317204
0.260637,26,98.71012
0.534729,31,99.084097
0.469482,35,99.565029
0.180109,15,99.729591
0.55314,39,100.184106
0.245809,29,100.463152
0.298561,21,100.608009
0.46885,23,100.767146
0.347209,49,101.112137
0.252919,20,101.263428
0.435215,19,101.399286
0.246565,18,101.532086
0.314357,20,101.676956
0.37784,20,101.822146
0.073439,17,101.941606
0.350177,36,102.24905
0.224329,19,102.387155
0.569787,20,102.534142
0.215305,16,102.686998
0.227409,22,102.873383
0.104674,31,103.113896
0.148716,20,103.272863
0.323666,21,103.420463
0.258387,18,103.559143
0.087421,21,103.719728
0.13357,26,103.922214
0.434978,17,104.046904
0.32493,20,104.380507
0.446634,24,104.568312
0.262525,19,104.701246
0.509274,18,104.835029
0.155947,13,104.937132
0.233747,42,105.282022
0.501007,20,105.435555
0.28134,30,105.662384
0.620858,38,105.939589
0.296432,24,106.116458
0.226599,21,106.27275
0.397876,18,106.40963
0.371871,19,106.557731
0.363784,28,106.775638
0.409929,34,107.028162
0.102217,33,107.277261
0.420227,21,107.426743
0.296058,29,107.632302
0.285538,33,107.918219
0.302714,22,108.085785
0.324934,21,108.253573
