# {"env_id": null, "t_start": 1552797576.7086205} 
r,l,t
1.640629,11,110.206841
1.878627,43,110.856049
1.200666,7,110.954412
0.190526,32,111.384049
2.31457,44,111.971481
2.733477,42,112.533264
3.286561,38,113.036929
1.704841,41,113.583239
2.14365,18,113.826318
1.594451,15,114.093679
1.985568,15,114.295357
2.078266,65,115.163478
2.918753,47,115.79456
3.527266,35,116.256616
1.863111,14,116.449617
2.059362,26,116.800193
2.350811,44,117.382416
2.704346,38,117.950411
1.848239,17,118.179612
3.224678,31,118.612032
2.38849,36,119.092525
1.507017,14,119.28146
2.938006,37,119.775344
2.808358,24,120.101191
2.655152,29,120.491275
1.77861,12,120.656671
2.321686,49,121.379358
2.502205,41,121.949555
1.144988,21,122.243815
1.928975,41,122.814051
2.239133,19,123.077571
1.147709,9,123.205343
1.707362,9,123.334284
0.153814,33,123.794277
2.111447,24,124.125396
1.434864,14,124.322342
1.686659,17,124.628877
2.153991,16,124.849804
1.413939,17,125.079415
2.167457,36,125.562169
1.817575,42,126.121516
1.833312,32,126.55953
0.724591,32,126.989464
3.228554,41,127.54268
2.179904,22,127.838292
2.418679,32,128.330072
1.831508,30,128.737797
2.549519,37,129.226254
2.182538,40,129.758463
2.253478,36,130.236504
3.391377,29,130.627663
1.067583,5,130.701076
2.125913,37,131.191047
1.742388,38,131.766571
1.647629,8,131.876507
3.305262,38,132.377327
2.601317,43,133.046751
1.716316,30,133.450544
1.089673,33,133.968767
2.115291,40,134.577204
1.912288,20,134.894196
1.741053,14,135.093184
1.129343,8,135.217382
2.48272,27,135.702243
2.929138,40,136.305551
1.992143,30,136.791103
2.283195,25,137.182354
2.060713,45,137.925279
2.144866,40,138.54088
2.022587,39,139.070326
2.176332,33,139.601594
2.114341,20,139.88445
1.208928,8,139.996687
2.554173,43,140.598058
1.323133,22,140.901633
2.042558,39,141.436155
2.419971,41,141.99782
1.320139,22,142.306702
2.79461,25,142.6585
2.277598,36,143.226125
1.251529,17,143.473714
1.370193,13,143.660569
2.429326,17,143.900179
2.452573,37,144.409639
2.932907,35,144.901747
2.57142,30,145.364311
1.880941,23,145.683794
1.375817,7,145.793688
2.004685,21,146.210077
1.862327,19,146.67048
1.898891,29,147.241447
2.341616,41,147.892211
2.152619,37,148.499313
4.059895,45,149.181739
1.780464,26,149.581457
1.02225,21,149.933796
1.78725,15,150.15913
0.808137,4,150.220849
2.303053,39,150.85218
2.435774,25,151.298053
2.170704,46,152.192508
2.359343,43,152.901497
1.703039,10,153.060678
1.689277,15,153.284318
2.105936,52,154.04484
2.722801,36,154.769459
1.849391,16,155.009516
1.230653,32,155.486151
2.063502,17,155.795704
2.75154,40,156.355205
1.64817,11,156.524882
2.103883,31,156.981499
0.940506,19,157.284812
2.345994,40,157.872473
1.844571,19,158.145339
2.594577,24,158.490812
2.280122,22,158.825028
1.943367,39,159.46148
2.49188,39,160.025919
0.742559,25,160.401345
2.107513,28,160.775903
1.668195,12,160.94637
1.774857,42,161.518891
2.484727,27,161.888097
2.380597,29,162.274086
3.334976,41,162.842882
1.955244,26,163.256043
1.733037,17,163.510828
1.835073,14,163.700303
2.268185,42,164.270299
2.824842,32,164.71506
2.027768,23,165.033329
1.640837,17,165.261052
2.68111,41,165.829464
2.047734,45,166.439868
1.738753,27,166.884105
2.00866,40,167.432985
2.317819,30,167.851534
2.719677,34,168.312539
2.32144,42,168.898775
1.487425,12,169.063467
2.14842,18,169.319439
3.188045,54,170.067891
1.710073,14,170.339483
1.646732,28,170.719739
2.63497,32,171.159965
0.55417,37,171.671769
1.76357,20,171.953669
2.558552,34,172.420613
1.063924,12,172.591741
1.433631,19,172.861371
1.590639,18,173.105017
2.174607,29,173.511407
1.518795,20,173.781575
1.987238,40,174.408026
1.81112,27,174.77808
1.98423,17,175.022111
2.503047,43,175.613896
1.644063,26,175.976015
2.480817,42,176.554691
2.70671,35,177.038862
2.033328,35,177.591367
2.261012,39,178.123041
2.035306,39,178.707609
2.447323,19,179.029057
1.863337,13,179.205558
2.252387,37,179.713803
2.655515,43,180.296243
0.155134,37,180.808993
1.516079,25,181.216671
2.196162,16,181.454247
0.78281,27,181.823495
2.36714,42,182.397473
2.095419,22,182.701638
1.792425,10,182.853983
2.14951,42,183.432398
2.061225,23,183.741936
2.69595,24,184.077452
1.507646,11,184.229211
2.251738,45,184.916504
1.974135,13,185.091041
2.554249,24,185.421356
2.44075,42,185.991452
2.978348,25,186.335194
2.452995,20,186.6101
2.78045,38,187.120726
1.457194,33,187.575064
1.446356,23,187.896396
2.017337,15,188.179425
1.987721,18,188.57326
2.102768,26,188.952858
2.062036,15,189.261168
1.591598,21,189.830643
1.933248,18,190.177757
2.822786,36,190.69138
0.897209,24,191.057866
1.199829,5,191.141257
1.791459,19,191.411175
0.534746,35,191.925528
1.477291,8,192.039537
1.792623,19,192.367412
1.866774,43,193.190647
2.901494,46,193.912471
1.639145,18,194.192539
0.490388,35,194.670108
1.46721,20,194.940019
1.888696,15,195.144624
2.171943,15,195.349185
0.137146,34,195.809444
0.677857,20,196.079934
2.554179,43,196.722574
2.031437,37,197.216522
2.264742,19,197.479498
1.780738,40,198.02891
1.897851,41,198.589041
1.825065,19,198.845935
1.07557,13,199.022927
2.189344,42,199.585713
1.942406,38,200.088946
1.755913,15,200.356487
1.876242,24,200.686455
2.177897,39,201.210231
2.911266,42,201.775162
1.259898,23,202.086695
2.292407,15,202.292366
2.335916,17,202.530267
2.579502,32,202.963459
1.932825,35,203.437843
2.344468,28,203.885355
2.306616,43,204.463123
2.820459,39,204.985723
2.224666,38,205.494604
2.668214,34,205.95121
2.03587,21,206.237794
2.12513,29,206.631833
1.665628,24,206.955726
2.438671,35,207.490931
1.690014,23,207.799518
0.221135,33,208.360671
2.109713,21,208.828493
1.872552,34,209.306514
2.616155,24,209.750321
1.14469,24,210.293249
2.093297,37,210.85574
1.636799,14,211.063176
1.951211,16,211.294313
2.298705,19,211.652978
2.256701,49,212.327905
2.715403,31,212.770048
1.830827,17,213.008911
1.995975,25,213.35117
2.569441,26,213.721683
1.76099,15,213.927127
0.47592,31,214.356594
1.761448,15,214.579663
2.042059,41,215.208114
1.040004,6,215.293996
1.484274,39,215.828091
2.726758,31,216.249365
2.261361,42,216.819038
1.899687,22,217.130019
1.640772,17,217.361869
2.493496,32,217.939651
3.951487,34,218.604961
1.597151,16,218.823945
2.434907,37,219.451457
2.508227,37,219.948927
3.021414,44,220.542741
2.27827,26,220.894481
2.144418,15,221.099358
2.315901,40,221.692518
3.410071,46,222.31157
1.384127,12,222.481046
2.329102,42,223.099675
1.938176,24,223.425511
1.507905,17,223.658779
1.593867,13,223.835824
2.397245,19,224.097285
1.889042,40,224.634886
1.67769,12,224.799999
2.06499,30,225.208816
2.187731,26,225.563518
2.877476,36,226.049448
2.816092,19,226.375646
2.190358,16,226.599477
2.621986,46,227.214767
2.508521,36,227.702035
1.821834,28,228.080545
1.170294,24,228.403697
0.948625,17,228.639024
1.883063,45,229.239689
2.805434,44,229.903236
2.155271,13,230.083292
2.276678,20,230.354087
1.418846,9,230.485513
1.480262,22,230.782768
1.614682,27,231.145755
2.128474,41,231.700804
2.648918,23,232.011101
2.258537,25,232.347085
1.462699,19,232.608981
1.163804,25,232.944028
1.826158,15,233.148506
2.929427,32,233.652229
2.178554,29,234.043957
1.129922,20,234.312745
1.820594,46,234.936357
3.038231,39,235.462141
1.449473,23,235.773393
2.377141,50,236.440217
2.294018,47,237.137093
2.15775,18,237.38011
1.918027,15,237.587932
1.520217,22,237.883652
2.39746,29,238.274245
1.848936,14,238.468748
2.350512,41,239.015363
2.099911,44,239.601482
2.328658,27,239.964849
2.435411,27,240.39319
2.545321,39,240.914119
2.538872,35,241.371813
2.321841,26,241.718311
1.847002,40,242.24205
2.451368,34,242.694786
2.649708,31,243.100984
2.169641,36,243.57591
2.829885,27,244.001413
2.666683,45,244.608944
2.650367,21,244.890786
2.114619,13,245.069107
0.536128,31,245.485353
2.380105,39,246.002979
