EpThisIter,EpRewMean,meankl,EpisodesSoFar,TimeElapsed,EpLenMean,TimestepsSoFar,surrgain,entloss,entropy,ev_tdlam_before,optimgain
7,2.6110540978989953,0.0039329124,5777,9948.041468858719,35.975,195740,0.21729156,0.0,38.137398,0.9348018243908882,0.21729156
6,2.6139369972311135,0.01347328,5783,9961.005123853683,37.225,195981,0.4923373,0.0,38.135536,0.9306696131825447,0.4923373
7,2.527812795305803,0.0037706853,5790,9974.102541446686,36.775,196245,0.21979076,0.0,38.13472,0.908450685441494,0.21979076
7,2.469217632294601,0.004023283,5797,9987.0900785923,37.05,196497,0.20018399,0.0,38.133827,0.89084292948246,0.20018399
5,2.528225902541771,0.0039253007,5802,10000.083054542542,37.875,196742,0.2167213,0.0,38.133175,0.9402593486011028,0.2167213
7,2.6119874677050783,0.012879656,5809,10013.03107714653,38.1,197006,0.43393606,0.0,38.13318,0.922657273709774,0.43393606
9,2.5444121744365624,0.0040979916,5818,10026.244839429855,37.875,197288,0.22475272,0.0,38.131874,0.8955759629607201,0.22475272
6,2.553021257853088,0.013086685,5824,10039.251304626465,37.3,197517,0.5699857,0.0,38.132004,0.9251299425959587,0.5699857
7,2.600850632351686,0.014008904,5831,10052.095180749893,37.95,197791,0.38722774,0.0,38.131824,0.8901941180229187,0.38722774
8,2.523966931356037,0.0038459464,5839,10065.370296955109,35.55,198038,0.19214123,0.0,38.1311,0.8379526287317276,0.19214123
7,2.538938664237043,0.004825944,5846,10078.493331193924,35.45,198303,0.27543235,0.0,38.132572,0.9452366344630718,0.27543235
6,2.4770932965135684,0.012363046,5852,10091.662413597107,36.2,198544,0.3986258,0.0,38.1311,0.8408353328704834,0.3986258
7,2.514377775823634,0.014190737,5859,10104.729519367218,37.025,198808,0.41804695,0.0,38.129513,0.8663672357797623,0.41804695
6,2.5297855632951656,0.0041421484,5865,10117.71870470047,37.125,199050,0.17833018,0.0,38.129932,0.9410791285336018,0.17833018
6,2.6521586647104036,0.00392504,5871,10130.856803417206,37.7,199299,0.22507565,0.0,38.129555,0.9276806563138962,0.22507565
7,2.773705617779894,0.0041924655,5878,10143.897447109222,37.625,199527,0.24713406,0.0,38.129135,0.8993078991770744,0.24713406
8,2.755738782986131,0.003951827,5886,10156.932103395462,37.075,199786,0.21471365,0.0,38.12825,0.8844298720359802,0.21471365
7,2.8782829008699173,0.013541443,5893,10169.971618890762,36.675,200052,0.6674114,0.0,38.128048,0.8934292569756508,0.6674114
7,2.8931096512849543,0.0040733153,5900,10183.108894824982,38.05,200352,0.20479105,0.0,38.127316,0.8937111422419548,0.20479105
8,2.8054540369139205,0.014057093,5908,10195.964711427689,35.825,200604,0.4863169,0.0,38.12798,0.9108483195304871,0.4863169
6,2.6828401131561046,0.014389863,5914,10209.187110185623,35.175,200830,0.49599373,0.0,38.128128,0.8960838317871094,0.49599373
9,2.6888279018148813,0.014303161,5923,10222.346015691757,35.175,201090,0.48660582,0.0,38.129356,0.9023503139615059,0.48660582
6,2.7218718837503117,0.014842308,5929,10235.168326377869,36.8,201344,0.4952067,0.0,38.128284,0.9552685916423798,0.4952067
