entropy,surrgain,TimestepsSoFar,optimgain,EpLenMean,EpRewMean,EpThisIter,meankl,EpisodesSoFar,ev_tdlam_before,TimeElapsed,entloss
39.71591,0.09920729,2520,0.09920729,23.575,1.0576079880879594,100,0.0071935416,100,0.5151684582233429,9.067381620407104,0.0
39.6728,0.10154857,5114,0.10154857,28.675,1.1486187257065126,95,0.0070889383,195,0.6670149564743042,16.82654333114624,0.0
39.648033,0.09996541,7576,0.09996541,28.575,1.1094625551390929,89,0.007015858,284,0.6299651861190796,24.399810552597046,0.0
39.60031,0.10379414,10125,0.10379414,29.525,1.336690410518946,90,0.006761376,374,0.667907178401947,32.065950870513916,0.0
39.588676,0.10108725,12652,0.10108725,30.275,1.2136199274598383,81,0.0067119636,455,0.7157683968544006,39.62325048446655,0.0
39.53601,0.106477775,15201,0.106477775,30.125,1.293413912245246,84,0.006847401,539,0.6335978806018829,47.11114573478699,0.0
39.481354,0.10706884,17741,0.10706884,31.925,1.2557936153150906,82,0.0065370994,621,0.6885324418544769,54.67984986305237,0.0
39.463974,0.10742509,20185,0.10742509,31.025,1.3429097055564776,82,0.006749143,703,0.7096257209777832,62.22413611412048,0.0
39.40567,0.11355178,22802,0.11355178,30.45,1.341131702983001,84,0.0067717014,787,0.39254289865493774,69.77166819572449,0.0
39.392998,0.106740616,25421,0.106740616,34.625,1.4070269031506917,76,0.006671652,863,0.5373413562774658,77.36195945739746,0.0
39.350502,0.11046736,27955,0.11046736,35.7,1.5069498382365434,73,0.006354594,936,0.8054339736700058,84.92798566818237,0.0
39.322342,0.10898776,30494,0.10898776,30.3,1.3031091155145673,82,0.006636222,1018,0.7908834666013718,92.62844610214233,0.0
39.336327,0.11535902,32948,0.11535902,33.75,1.418022250877279,73,0.0066731474,1091,0.7945674508810043,100.13253688812256,0.0
39.308952,0.1145436,35529,0.1145436,37.45,1.463156822086232,73,0.0063158544,1164,0.8628488332033157,107.64848279953003,0.0
39.30182,0.11196073,37978,0.11196073,33.225,1.371354257897032,70,0.006634223,1234,0.7565439790487289,115.56677508354187,0.0
39.265816,0.11398234,40497,0.11398234,37.575,1.455492890777558,71,0.0064508477,1305,0.7128523588180542,123.12215733528137,0.0
39.254364,0.11505568,42975,0.11505568,36.225,1.612111216742162,68,0.0064049894,1373,0.7435420453548431,130.8465096950531,0.0
39.208694,0.11684547,45502,0.11684547,34.925,1.399914258112641,69,0.006464623,1442,0.6991414427757263,138.35119771957397,0.0
39.17193,0.11539529,48023,0.11539529,34.375,1.5577669591223198,77,0.006445721,1519,0.5912962555885315,146.01067233085632,0.0
39.127884,0.11581181,50576,0.11581181,37.15,1.4453759250655782,68,0.006150813,1587,0.8179613798856735,153.65002822875977,0.0
39.09787,0.116925135,53218,0.116925135,36.525,1.524481799403696,71,0.0064058015,1658,0.7167885303497314,161.2120599746704,0.0
39.06062,0.12137566,55768,0.12137566,37.225,1.4771988393687607,69,0.006360387,1727,0.7878996729850769,168.76799774169922,0.0
39.056602,0.119372465,58316,0.119372465,35.075,1.4363277519479345,70,0.006473771,1797,0.659178227186203,176.82755303382874,0.0
39.057343,0.12171696,60967,0.12171696,39.5,1.501693529077396,66,0.0065225214,1863,0.664595365524292,185.18057584762573,0.0
39.065445,0.12168362,63513,0.12168362,39.0,1.7215371839621547,68,0.0063527212,1931,0.7517129331827164,193.48607993125916,0.0
39.026512,0.123141885,65997,0.123141885,40.6,1.6345482900567205,62,0.00631909,1993,0.7835708111524582,201.05214166641235,0.0
38.954884,0.12362206,68619,0.12362206,42.8,1.7239459314778762,64,0.0064727077,2057,0.8029344826936722,208.6040050983429,0.0
38.90509,0.12647767,71149,0.12647767,44.3,1.6213259038889867,59,0.0064317747,2116,0.8331314027309418,216.1379199028015,0.0
38.88616,0.12477994,73697,0.12477994,38.825,1.5670589748724644,66,0.006326899,2182,0.75712089240551,223.92149543762207,0.0
38.871315,0.124269284,76179,0.124269284,42.075,1.4862605098869055,60,0.0062640435,2242,0.7842985093593597,231.52374124526978,0.0
38.863445,0.12322694,78780,0.12322694,46.0,1.8028747422467546,61,0.006370579,2303,0.850161001086235,239.12449550628662,0.0
38.83255,0.12471511,81439,0.12471511,46.0,1.57180102217129,58,0.0062725,2361,0.8998933136463165,246.6282262802124,0.0
38.818733,0.123001754,84012,0.123001754,43.725,1.7480957743410173,60,0.00618293,2421,0.7889849990606308,254.16636204719543,0.0
38.78383,0.12560292,86549,0.12560292,43.1,1.6295906165369722,60,0.0062644035,2481,0.8725722432136536,261.7023537158966,0.0
38.72303,0.12658386,89163,0.12658386,42.225,1.5657739403871718,59,0.0063226135,2540,0.766580268740654,269.3086783885956,0.0
38.70348,0.13157266,91759,0.13157266,43.675,1.8002116968639004,58,0.0064377226,2598,0.6311309933662415,276.86881256103516,0.0
38.66822,0.13223061,94353,0.13223061,44.9,1.8972657706962779,59,0.006561323,2657,0.7782537937164307,284.84817910194397,0.0
38.629875,0.13177958,96857,0.13177958,41.225,1.6734734489763254,60,0.0064093983,2717,0.7326436340808868,292.6387801170349,0.0
38.581184,0.1354359,99318,0.1354359,44.9,1.6014585801467518,54,0.006545361,2771,0.7688056081533432,300.23620438575745,0.0
38.550514,0.1317612,101806,0.1317612,43.65,1.7636268558913422,56,0.0065788627,2827,0.7604206949472427,307.84319281578064,0.0
38.48535,0.13426208,104416,0.13426208,45.325,1.833399699102501,58,0.006468451,2885,0.8099828958511353,315.3339476585388,0.0
38.4544,0.12679659,106854,0.12679659,44.725,1.7382633560889762,54,0.006251274,2939,0.8033073395490646,322.94858050346375,0.0
38.44619,0.13633582,109515,0.13633582,49.75,1.6679718334071236,53,0.0066310586,2992,0.661167323589325,330.62277150154114,0.0
38.40901,0.13194056,112113,0.13194056,43.55,1.8719341596374348,59,0.006675872,3051,0.7301721274852753,338.35534739494324,0.0
38.375946,0.13130218,114813,0.13130218,46.825,1.6706374416815515,57,0.0064027635,3108,0.5919195711612701,345.87976932525635,0.0
38.349274,0.12716639,117361,0.12716639,50.075,1.8719709448697828,53,0.006319302,3161,0.7058797180652618,353.4939036369324,0.0
38.341698,0.13180323,119925,0.13180323,43.925,1.751679906538363,57,0.00662646,3218,0.7668270170688629,361.128879070282,0.0
38.278168,0.1393776,122395,0.1393776,48.55,1.7830705084346334,52,0.006609091,3270,0.8193850666284561,368.70494198799133,0.0
38.277077,0.1361661,124873,0.1361661,43.85,2.0247799035779233,54,0.0063125603,3324,0.7095795273780823,376.1823208332062,0.0
38.258408,0.13690844,127354,0.13690844,44.475,1.675986000206495,54,0.006418591,3378,0.5030921995639801,383.73259139060974,0.0
38.26998,0.13297772,129878,0.13297772,48.975,2.010988155353998,50,0.006472677,3428,0.8497214168310165,391.356725692749,0.0
38.241657,0.13631433,132342,0.13631433,45.625,1.96883982416059,55,0.0066334666,3483,0.7468848824501038,399.093049287796,0.0
38.228294,0.13770655,134961,0.13770655,50.775,2.0586558898504292,51,0.006495188,3534,0.816578283905983,406.66497564315796,0.0
38.189472,0.13739032,137504,0.13739032,46.125,1.8938407779652273,54,0.0063705994,3588,0.45850783586502075,414.28859853744507,0.0
38.1755,0.13185254,140071,0.13185254,53.225,1.810059804221855,50,0.0066501736,3638,0.8491182178258896,421.9759862422943,0.0
38.172356,0.13927118,142552,0.13927118,48.025,1.8648714608198014,51,0.0064132204,3689,0.6922671496868134,429.5605766773224,0.0
38.1461,0.1379687,144974,0.1379687,44.525,1.9765720876639719,53,0.0065748184,3742,0.8547710627317429,437.254177570343,0.0
38.121666,0.14056218,147551,0.14056218,51.175,1.7222095313301964,50,0.006695509,3792,0.8675344288349152,444.7405970096588,0.0
38.115074,0.13562246,150060,0.13562246,50.875,1.7726896315908394,50,0.006480067,3842,0.7246012985706329,452.2170648574829,0.0
38.073864,0.1431242,152665,0.1431242,54.5,1.5281271736110522,49,0.00670671,3891,0.7324866652488708,459.68995571136475,0.0
38.030663,0.14011958,155206,0.14011958,45.225,1.7731003088877437,55,0.0067546903,3946,0.6267006993293762,467.2742211818695,0.0
37.993195,0.1381293,157808,0.1381293,49.525,1.8086268259996277,53,0.0067260526,3999,0.8421778678894043,474.90024638175964,0.0
37.966724,0.14439562,160632,0.14439562,51.0,1.8607848901215547,53,0.0064824177,4052,0.7495733201503754,482.4248116016388,0.0
37.962173,0.14603055,163303,0.14603055,53.725,1.9105965171312314,49,0.0065844404,4101,0.7082392573356628,490.07616662979126,0.0
37.95761,0.14084506,165806,0.14084506,42.675,1.955520938865972,57,0.006566779,4158,0.8259155750274658,497.590859413147,0.0
37.943344,0.14197429,168265,0.14197429,47.8,1.8002770911978374,50,0.006687133,4208,0.7453974187374115,505.29136657714844,0.0
37.928566,0.13917123,170762,0.13917123,46.1,1.6118281567462247,53,0.0064790174,4261,0.8017730563879013,512.9433088302612,0.0
37.923088,0.14169161,173382,0.14169161,50.975,1.8030607198616089,51,0.0067081028,4312,0.847260519862175,520.667503118515,0.0
37.915672,0.14350775,175878,0.14350775,50.1,2.025591111755538,49,0.0067984043,4361,0.775841012597084,528.3860440254211,0.0
37.907616,0.14303115,178371,0.14303115,52.3,1.8749332704026205,46,0.0066588693,4407,0.8293772041797638,536.1045894622803,0.0
37.901604,0.13755068,180935,0.13755068,53.25,1.6148519039781148,49,0.00666375,4456,0.8505243808031082,543.7418956756592,0.0
37.877098,0.13834973,183413,0.13834973,46.95,1.8953969419500474,50,0.006563137,4506,0.7619770169258118,551.2863426208496,0.0
37.859116,0.1462687,185822,0.1462687,51.925,1.796674027125356,46,0.006877403,4552,0.4466509222984314,558.8754925727844,0.0
37.82567,0.14617816,188536,0.14617816,53.65,1.785959685142594,50,0.0067269146,4602,0.7722179293632507,566.6129987239838,0.0
37.798515,0.14109156,190994,0.14109156,53.275,1.9185888584924193,47,0.006734456,4649,0.5943049490451813,574.1642954349518,0.0
37.77983,0.14160906,193564,0.14160906,52.175,1.9432075536372442,50,0.0066881343,4699,0.7586499899625778,581.6232447624207,0.0
37.765614,0.1418741,196068,0.1418741,48.6,1.9263966174622176,50,0.006623502,4749,0.7068173289299011,589.1378743648529,0.0
37.720592,0.14726523,198615,0.14726523,51.35,2.1509880379945128,49,0.0065125152,4798,0.9107436165213585,596.6214694976807,0.0
37.678726,0.14676166,201229,0.14676166,54.6,1.863300588808412,49,0.006820403,4847,0.7858058512210846,604.1063687801361,0.0
37.664734,0.1432641,203764,0.1432641,50.75,1.5971558770218863,50,0.0065384195,4897,0.8396370261907578,611.6362030506134,0.0
37.658875,0.14488366,206364,0.14488366,55.075,1.7503023020944852,47,0.0066533433,4944,0.757877767086029,619.1479651927948,0.0
37.643494,0.15103488,208880,0.15103488,53.625,2.1433241881625267,47,0.0067546167,4991,0.8247617334127426,626.759569644928,0.0
37.636986,0.15079193,211498,0.15079193,55.025,2.0123525010893935,49,0.006797762,5040,0.7853276133537292,634.3657219409943,0.0
37.5989,0.15238908,214044,0.15238908,49.975,2.1430892238889663,49,0.0068177013,5089,0.8722917586565018,641.854814529419,0.0
37.59904,0.1478405,216710,0.1478405,56.35,1.8981640114336098,48,0.006815225,5137,0.7446278035640717,649.4522306919098,0.0
37.568916,0.1453686,219359,0.1453686,48.975,1.71298539300128,54,0.0068485616,5191,0.7452565729618073,657.0479862689972,0.0
37.55455,0.14874807,222002,0.14874807,58.075,2.0946335084616097,46,0.0066617616,5237,0.8702080100774765,664.6722075939178,0.0
37.504105,0.15066472,224498,0.15066472,54.225,2.0318838162653026,47,0.006878516,5284,0.8748498558998108,672.4192633628845,0.0
37.4853,0.14952096,226979,0.14952096,50.45,2.0814143843863837,49,0.006689606,5333,0.7660981714725494,679.9940328598022,0.0
37.485207,0.14695594,229633,0.14695594,53.925,1.9521882365433705,50,0.006786617,5383,0.8563919961452484,687.5851464271545,0.0
37.478607,0.14294584,232175,0.14294584,46.975,1.8683301336084006,51,0.0067875935,5434,0.7611179649829865,695.1212718486786,0.0
37.456802,0.15015526,234577,0.15015526,51.525,1.8284442275043638,47,0.006794202,5481,0.7012861669063568,702.723682641983,0.0
37.457535,0.15491167,237200,0.15491167,51.775,2.0267281075890793,51,0.006839232,5532,0.7320072054862976,710.3009757995605,0.0
37.447433,0.15281403,239791,0.15281403,50.975,1.89544279630882,52,0.0070856228,5584,0.8490109741687775,717.9469289779663,0.0
37.407024,0.14738691,242257,0.14738691,50.425,2.027268210617625,47,0.0067381337,5631,0.7678149044513702,725.6077229976654,0.0
37.397797,0.15228052,244860,0.15228052,56.375,1.9495793008039368,45,0.0068264618,5676,0.7487998306751251,733.1745290756226,0.0
37.378746,0.15356106,247411,0.15356106,53.925,2.1428542873135195,48,0.0071000024,5724,0.8059283792972565,740.9496550559998,0.0
37.363598,0.15437177,249893,0.15437177,56.375,1.8855561571310886,45,0.0067347675,5769,0.8745130598545074,748.4882605075836,0.0
37.345413,0.14999577,252608,0.14999577,55.2,1.8931139636111705,49,0.0068473266,5818,0.7893538177013397,755.9538326263428,0.0
37.32727,0.15718701,254947,0.15718701,52.75,1.8531155282223637,44,0.006886187,5862,0.6667337119579315,763.4887418746948,0.0
37.290848,0.15692577,257650,0.15692577,59.15,1.8720191475831265,46,0.0070291236,5908,0.8521492332220078,771.1201474666595,0.0
37.282333,0.15177777,260336,0.15177777,54.5,1.8678134990497803,48,0.0070314123,5956,0.7707751095294952,778.8008177280426,0.0
37.277596,0.1553444,262905,0.1553444,54.1,1.9897235710604861,46,0.0071159094,6002,0.8330098390579224,786.4659922122955,0.0
37.260773,0.14741935,265231,0.14741935,53.975,2.143026812580905,44,0.0069186958,6046,0.603409618139267,793.9688940048218,0.0
37.246082,0.15158789,267765,0.15158789,58.2,2.1524028144565808,44,0.0068372847,6090,0.7282145619392395,801.6212167739868,0.0
37.26583,0.15573883,270177,0.15573883,51.7,2.093619421127607,46,0.006880806,6136,0.9069909453392029,809.4802687168121,0.0
37.245075,0.14963618,272667,0.14963618,53.45,1.794344606370548,46,0.0069014104,6182,0.7391510307788849,816.9725122451782,0.0
37.221413,0.1585697,275081,0.1585697,55.7,2.2048130731277404,43,0.0071102916,6225,0.8143596351146698,824.5659286975861,0.0
37.195915,0.16251822,277720,0.16251822,54.35,2.2620607409475637,48,0.007069275,6273,0.7700332999229431,832.223798751831,0.0
37.17401,0.1525439,280187,0.1525439,57.4,1.9117462423937686,43,0.006793598,6316,0.5331012010574341,839.7484610080719,0.0
37.174362,0.1568525,282644,0.1568525,58.125,2.172042205648501,42,0.006762697,6358,0.7469398379325867,847.239978313446,0.0
37.17154,0.15897219,285169,0.15897219,52.6,2.089359076636815,47,0.0069853514,6405,0.8987606689333916,854.7543976306915,0.0
