ev_tdlam_before,entloss,optimgain,meankl,TimeElapsed,EpRewMean,EpThisIter,TimestepsSoFar,entropy,EpLenMean,EpisodesSoFar,surrgain
0.19363462924957275,0.0,0.15834437,0.007933972,24.100590229034424,0.3440705869896991,38,1005,39.744293,26.44736842105263,38,0.15834437
0.1573096513748169,0.0,0.16699904,0.007878786,47.73487997055054,0.30152090710328955,35,2016,39.69073,28.075,73,0.16699904
0.398561954498291,0.0,0.15942276,0.0075665675,71.076331615448,0.31700816816754857,43,3054,39.65282,24.05,116,0.15942276
0.46299225091934204,0.0,0.1646483,0.007861789,103.25842666625977,0.2886972067519074,42,4095,39.6271,24.5,158,0.1646483
0.6060449182987213,0.0,0.16153829,0.0074458094,126.93587970733643,0.33674549184010505,36,5087,39.555668,26.85,194,0.16153829
0.6630236208438873,0.0,0.1675151,0.007859404,150.87547731399536,0.40726318321926736,40,6103,39.518513,25.4,234,0.1675151
0.5995208323001862,0.0,0.163084,0.007852366,175.21835613250732,0.3255756938503461,39,7093,39.50292,25.525,273,0.163084
0.6684615314006805,0.0,0.16767213,0.007555157,202.33718919754028,0.32749733603835035,39,8121,39.480953,26.375,312,0.16767213
0.5473686158657074,0.0,0.19410633,0.007906638,232.7646713256836,0.36943791793388636,36,9139,39.437313,27.6,348,0.19410633
0.5828604102134705,0.0,0.19888549,0.008053956,256.6244685649872,0.40054346708155714,38,10172,39.38573,27.1,386,0.19888549
0.7276684641838074,0.0,0.17352611,0.00819182,279.632048368454,0.4128022752700266,35,11199,39.380524,28.625,421,0.17352611
0.6679321825504303,0.0,0.18672574,0.008041203,306.0431215763092,0.4262125740454623,37,12230,39.34928,27.575,458,0.18672574
0.7088829874992371,0.0,0.17466888,0.008035535,331.81300616264343,0.4366420550313356,38,13267,39.271473,27.15,496,0.17466888
0.6590966284275055,0.0,0.195112,0.00781574,354.48038721084595,0.4632369388247605,37,14308,39.245556,27.95,533,0.195112
0.7111936509609222,0.0,0.18166617,0.0083502,377.13291335105896,0.41293106932379936,34,15336,39.188663,30.05,567,0.18166617
0.737444132566452,0.0,0.18368322,0.007569858,399.95282435417175,0.446314352205856,34,16369,39.109177,29.15,601,0.18368322
0.7727266252040863,0.0,0.17615402,0.007884257,422.5942265987396,0.48270820548052473,33,17385,39.027386,30.925,634,0.17615402
0.6965570449829102,0.0,0.17526293,0.0076772403,445.4688649177551,0.4832193555253605,34,18412,38.921375,30.525,668,0.17526293
0.6992161273956299,0.0,0.21862966,0.008253684,468.1370711326599,0.49921037520455513,33,19449,38.8354,31.125,701,0.21862966
0.765073224902153,0.0,0.19315168,0.008134849,490.74623441696167,0.5227238634403942,35,20496,38.786633,29.775,736,0.19315168
0.7550248205661774,0.0,0.21516058,0.0085526155,513.2801904678345,0.5387247410116316,33,21517,38.771988,31.225,769,0.21516058
0.8039844781160355,0.0,0.18953043,0.008690185,535.8882992267609,0.4894001930330608,32,22566,38.702686,31.775,801,0.18953043
0.7393695116043091,0.0,0.1988661,0.007865318,558.4473879337311,0.5723856018706236,32,23581,38.603363,30.875,833,0.1988661
0.7772136777639389,0.0,0.19781607,0.00831618,581.2330300807953,0.6201625641730848,30,24594,38.548832,34.15,863,0.19781607
0.7758345752954483,0.0,0.19123253,0.0080134375,603.8249025344849,0.5319462823923331,30,25613,38.48697,34.5,893,0.19123253
0.8123196214437485,0.0,0.19786528,0.00816834,626.4560639858246,0.5285432718092619,29,26618,38.453663,34.95,922,0.19786528
0.7915459871292114,0.0,0.19800466,0.008317871,649.0186858177185,0.5345276945613497,33,27612,38.409863,31.05,955,0.19800466
0.7407142221927643,0.0,0.20696123,0.0082875565,671.4149987697601,0.6569749329757248,31,28646,38.352497,32.325,986,0.20696123
0.7797064483165741,0.0,0.2126414,0.008420269,694.3081028461456,0.6036211918754791,33,29677,38.30547,31.625,1019,0.2126414
0.8047066032886505,0.0,0.20611088,0.008477351,716.8840901851654,0.6715281230958221,29,30687,38.26205,34.625,1048,0.20611088
0.7995318621397018,0.0,0.19776726,0.008537521,739.5645174980164,0.6528870330250227,30,31731,38.22929,33.525,1078,0.19776726
0.7650794237852097,0.0,0.20897241,0.008197252,762.3819561004639,0.6080124277614022,31,32735,38.207016,33.05,1109,0.20897241
0.789205864071846,0.0,0.20475224,0.008806489,784.9868080615997,0.6261534025997078,30,33763,38.185986,33.35,1139,0.20475224
0.7849757969379425,0.0,0.2085363,0.008198671,807.4548246860504,0.6899057528445256,31,34792,38.131363,33.35,1170,0.2085363
0.8019959181547165,0.0,0.226064,0.008590765,830.185215473175,0.6974501157023683,29,35849,38.077133,34.625,1199,0.226064
0.7964485138654709,0.0,0.20073126,0.008603084,852.8437702655792,0.6719482271803316,32,36879,38.031086,33.175,1231,0.20073126
0.7875547409057617,0.0,0.22837865,0.008806817,875.7451083660126,0.661283001638208,30,37895,37.98946,35.325,1261,0.22837865
0.6915350556373596,0.0,0.20872311,0.008759527,899.9354984760284,0.64652844139886,30,38940,37.92965,34.65,1291,0.20872311
0.7552748769521713,0.0,0.2247478,0.009295039,925.2213091850281,0.7018885198804788,30,39983,37.908733,35.275,1321,0.2247478
0.7398099601268768,0.0,0.2059994,0.00835016,947.5212106704712,0.7185150879219654,29,41039,37.854008,37.025,1350,0.2059994
0.7976885735988617,0.0,0.22662544,0.008872988,969.9605638980865,0.6572808165703565,31,42070,37.80339,34.1,1381,0.22662544
0.7115006148815155,0.0,0.23185915,0.008696146,992.3243811130524,0.6705871670102997,27,43104,37.78658,35.75,1408,0.23185915
0.7848547548055649,0.0,0.21192904,0.008809155,1014.7660732269287,0.6970319638139241,28,44145,37.731,40.025,1436,0.21192904
0.7970697730779648,0.0,0.21091628,0.008969513,1037.0678560733795,0.6758002412697225,32,45161,37.703445,34.25,1468,0.21091628
0.852268636226654,0.0,0.23011795,0.008855894,1059.3231492042542,0.7429709067997283,27,46184,37.67524,35.625,1495,0.23011795
0.8261425644159317,0.0,0.21494022,0.009341123,1081.7321910858154,0.7221208176550796,27,47228,37.612263,37.525,1522,0.21494022
0.8204414993524551,0.0,0.22303385,0.0083104335,1103.9741690158844,0.7641472291052717,27,48221,37.58887,37.75,1549,0.22303385
0.8433254659175873,0.0,0.22309104,0.0093990825,1126.2837941646576,0.6974570948600057,29,49264,37.552406,36.8,1578,0.22309104
0.8224488794803619,0.0,0.23894528,0.009357452,1148.6661820411682,0.7956965496981971,28,50298,37.506306,37.675,1606,0.23894528
0.8475678414106369,0.0,0.21535501,0.008789009,1170.9132187366486,0.7071743070352211,28,51302,37.465527,35.9,1634,0.21535501
0.8343336135149002,0.0,0.23664278,0.008939592,1193.24187541008,0.7508002273431762,25,52347,37.432575,41.6,1659,0.23664278
0.8480047732591629,0.0,0.22269543,0.009018812,1215.6396026611328,0.7981512766441701,28,53372,37.38883,38.925,1687,0.22269543
0.8107094764709473,0.0,0.2303638,0.008878592,1237.8246057033539,0.8083216833041528,29,54409,37.347,36.25,1716,0.2303638
0.861497700214386,0.0,0.22322312,0.009402793,1260.1241862773895,0.8017507268949909,28,55439,37.346684,34.575,1744,0.22322312
0.787688747048378,0.0,0.23241717,0.009027338,1282.4098999500275,0.8505062342036828,28,56427,37.32814,35.65,1772,0.23241717
0.7985889762639999,0.0,0.24747735,0.009567503,1305.1737723350525,0.8522672305144573,29,57437,37.27788,35.025,1801,0.24747735
0.7860143780708313,0.0,0.2502791,0.009244922,1328.4890129566193,0.8180938731044776,27,58456,37.244183,36.075,1828,0.2502791
0.8104806840419769,0.0,0.22712174,0.009443551,1350.6914737224579,0.839726697088029,29,59483,37.2161,35.425,1857,0.22712174
0.7924793362617493,0.0,0.24083547,0.009293047,1372.9305260181427,0.8537379788058421,26,60499,37.19364,37.575,1883,0.24083547
0.8240665644407272,0.0,0.23856193,0.00964084,1395.222558259964,0.9132292622021818,25,61532,37.171825,39.85,1908,0.23856193
0.8690078258514404,0.0,0.21441281,0.0099861175,1417.4877305030823,0.8788609946289927,26,62548,37.106403,38.95,1934,0.21441281
0.8108839690685272,0.0,0.2727027,0.009392709,1439.6277754306793,0.8777184276118115,26,63617,37.07612,40.7,1960,0.2727027
0.8199859112501144,0.0,0.22806635,0.009389765,1461.8937711715698,0.928707261633396,29,64655,37.01737,38.25,1989,0.22806635
0.8362298160791397,0.0,0.22085296,0.009758959,1484.1258792877197,0.7989774996900582,24,65682,36.99852,39.925,2013,0.22085296
0.7610863894224167,0.0,0.26071978,0.010015316,1506.200387954712,0.8172381996050107,27,66714,36.936325,38.675,2040,0.26071978
0.8065276443958282,0.0,0.26025164,0.009636853,1528.50807595253,0.8373530002410259,23,67712,36.90728,42.05,2063,0.26025164
0.8379608392715454,0.0,0.24434528,0.010357536,1550.7497372627258,0.917309009610368,29,68734,36.889175,37.45,2092,0.24434528
0.8349959999322891,0.0,0.23038562,0.010409288,1572.986796617508,0.9061315898694033,27,69774,36.852737,36.475,2119,0.23038562
0.8021243363618851,0.0,0.21423304,0.009334371,1595.326336145401,0.9103473942393918,25,70799,36.838882,39.6,2144,0.21423304
0.834302619099617,0.0,0.263501,0.009870043,1617.544981956482,0.9336357636815047,24,71790,36.807827,40.475,2168,0.263501
